mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__class_weight,param_svc__gamma,params,mean_test_eer,std_test_eer,rank_test_eer,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
21.286990690231324,1.8279225474451253,3.4940361976623535,0.36618305961329534,7.164040428191009,,scale,"{'svc__C': np.float64(7.164040428191009), 'svc__class_weight': None, 'svc__gamma': 'scale'}",-0.15816666666666668,0.007204965137580123,8,0.9214166666666668,0.00485329597928263,5
23.54070954322815,1.7229500970249298,3.383748722076416,0.27954556397343583,89.06204386161673,balanced,scale,"{'svc__C': np.float64(89.06204386161673), 'svc__class_weight': 'balanced', 'svc__gamma': 'scale'}",-0.16074074074074074,0.004903737271900295,10,0.9162010493827161,0.002100343058108265,11
21.96299452781677,1.6609358994441743,3.711602067947388,0.4564363260404679,38.00329214045198,balanced,scale,"{'svc__C': np.float64(38.00329214045198), 'svc__class_weight': 'balanced', 'svc__gamma': 'scale'}",-0.15687037037037038,0.005748918905942733,7,0.9209995679012346,0.0034898411072888137,6
18.312987184524538,1.9074396810190046,4.19886040687561,1.0242780827137443,2.24645516805326,,scale,"{'svc__C': np.float64(2.24645516805326), 'svc__class_weight': None, 'svc__gamma': 'scale'}",-0.16883333333333334,0.0066740185799476865,14,0.9131151234567902,0.004766517207584569,13
22.394682025909425,1.4126404783220596,4.059812688827515,0.640789307700312,67.08188643346287,,0.026619018884890575,"{'svc__C': np.float64(67.08188643346287), 'svc__class_weight': None, 'svc__gamma': np.float64(0.026619018884890575)}",-0.16435185185185186,0.006847345865710581,11,0.9162100000000001,0.0023067676388165283,10
16.93302493095398,1.5256516014218582,3.902732419967651,0.38668228097996254,0.11166029133981344,,scale,"{'svc__C': np.float64(0.11166029133981344), 'svc__class_weight': None, 'svc__gamma': 'scale'}",-0.1733148148148148,0.005591979362994733,17,0.9031677160493826,0.005392247792163789,18
9.410919332504273,0.9144782390517955,3.4368797302246095,0.42267366612773094,0.5285382203816725,,0.00023233503515390126,"{'svc__C': np.float64(0.5285382203816725), 'svc__class_weight': None, 'svc__gamma': np.float64(0.00023233503515390126)}",-0.25320370370370365,0.008282685594566302,27,0.8269972839506172,0.006738555589720794,27
23.995810985565186,0.35848431310905005,4.111077976226807,0.5726712924045322,31.592553907017475,balanced,scale,"{'svc__C': np.float64(31.592553907017475), 'svc__class_weight': 'balanced', 'svc__gamma': 'scale'}",-0.15466666666666665,0.005897094213645335,4,0.921866111111111,0.0037147097704336406,4
17.127906131744385,1.030284704138031,3.482882595062256,0.4924579583271138,1.4899847475658243,,0.009717775305059635,"{'svc__C': np.float64(1.4899847475658243), 'svc__class_weight': None, 'svc__gamma': np.float64(0.009717775305059635)}",-0.18275925925925923,0.0071839918825816204,20,0.8984343827160494,0.005367004886291252,20
16.73375024795532,1.9667566037577948,3.255142068862915,0.3798635661482093,1.8856783874794991,,0.004366473592979638,"{'svc__C': np.float64(1.8856783874794991), 'svc__class_weight': None, 'svc__gamma': np.float64(0.004366473592979638)}",-0.18540740740740738,0.007093487033824747,22,0.8949375925925926,0.005344099107191926,22
17.81893801689148,1.0287978064406202,3.3669246673583983,0.20126201393178428,0.1241480428274395,,0.021154290797261225,"{'svc__C': np.float64(0.1241480428274395), 'svc__class_weight': None, 'svc__gamma': np.float64(0.021154290797261225)}",-0.17450000000000002,0.00582453775460934,19,0.9028773456790123,0.00543570992342214,19
16.68050322532654,1.5263630906959387,3.5004241466522217,0.39816729018388614,1.5326772391384107,,0.00621870472776908,"{'svc__C': np.float64(1.5326772391384107), 'svc__class_weight': None, 'svc__gamma': np.float64(0.00621870472776908)}",-0.1842962962962963,0.00697452743358362,21,0.8962241975308641,0.005249809522531495,21
17.021148347854613,1.7923181706136126,3.4317139625549316,0.3426813150335585,0.9541624171184552,,0.0003872118032174585,"{'svc__C': np.float64(0.9541624171184552), 'svc__class_weight': None, 'svc__gamma': np.float64(0.0003872118032174585)}",-0.20874074074074075,0.009017320629244025,26,0.8748170987654321,0.0074413431868192124,26
24.810453605651855,0.945632639773256,3.5771647930145263,0.3488465181960234,76.4743990754351,balanced,scale,"{'svc__C': np.float64(76.4743990754351), 'svc__class_weight': 'balanced', 'svc__gamma': 'scale'}",-0.1599814814814815,0.005253648546036117,9,0.9170082098765432,0.0022640948015791866,9
22.71374907493591,1.6619240286615917,3.9868088722229005,0.38203311531124384,17.456626922659325,balanced,0.030634622106220845,"{'svc__C': np.float64(17.456626922659325), 'svc__class_weight': 'balanced', 'svc__gamma': np.float64(0.030634622106220845)}",-0.15407407407407409,0.007100348723057619,3,0.921948950617284,0.0038009704868993727,3
20.168383598327637,1.0952487275537985,3.3949085235595704,0.39873485882876414,78.66216981266838,,0.004247058562261873,"{'svc__C': np.float64(78.66216981266838), 'svc__class_weight': None, 'svc__gamma': np.float64(0.004247058562261873)}",-0.16790740740740737,0.009556273300635219,13,0.9138341975308641,0.004779622053684849,12
36.49327025413513,2.8546577247384772,6.900079298019409,0.7022805875262917,0.7741417985242882,balanced,scale,"{'svc__C': np.float64(0.7741417985242882), 'svc__class_weight': 'balanced', 'svc__gamma': 'scale'}",-0.1677037037037037,0.008655778218660924,12,0.9109852469135802,0.005082272590159701,14
47.836591958999634,2.315356786489152,8.253671026229858,0.3066366097383965,0.11140616389973705,balanced,scale,"{'svc__C': np.float64(0.11140616389973705), 'svc__class_weight': 'balanced', 'svc__gamma': 'scale'}",-0.19740740740740742,0.008411770771790384,25,0.8783083950617284,0.0069365420727802675,25
12.070208501815795,0.8293018673402074,3.2294727325439454,0.36368562958577,1.5298348658397898,,0.00010388823104027947,"{'svc__C': np.float64(1.5298348658397898), 'svc__class_weight': None, 'svc__gamma': np.float64(0.00010388823104027947)}",-0.28305555555555556,0.009567283930703612,29,0.7888620370370368,0.008971352828981578,29
13.947108888626099,0.8593685057004528,3.306788110733032,0.06545297248136361,0.39493644472223327,,scale,"{'svc__C': np.float64(0.39493644472223327), 'svc__class_weight': None, 'svc__gamma': 'scale'}",-0.17383333333333334,0.0060876654623831725,18,0.9031876543209876,0.005402349080780677,17
